units_layer_1,dropout_layer_1,units_layer_2,dropout_layer_2,units_layer_3,dropout_layer_3,dense_units,optimizer,stock
128,0.2,128,0.2,96,0.1,16,rmsprop,ADVANC.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,AOT.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,BBL.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,BDMS.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,BH.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,CPALL.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,CPF.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,CPN.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,DELTA.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,HMPRO.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,INTUCH.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,IVL.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,KBANK.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,KTB.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,MINT.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,PTT.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,PTTEP.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,SCC.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,TRUE.BK
128,0.2,128,0.2,96,0.1,16,rmsprop,TTB.BK
