Date,Interest_Rate,GDP,Unemployment,Inflation_x
2012-10-01,,16420.419,,
2012-12-01,0.16,16420.419,7.9,231.221
2013-01-01,0.14,16648.189,8.0,231.679
2013-02-01,0.15,16648.189,7.7,232.937
2013-03-01,0.14,16648.189,7.5,232.282
2013-04-01,0.15,16728.687,7.6,231.797
2013-05-01,0.11,16728.687,7.5,231.893
2013-06-01,0.09,16728.687,7.5,232.445
2013-07-01,0.09,16953.838,7.3,232.9
2013-08-01,0.08,16953.838,7.2,233.456
2013-09-01,0.08,16953.838,7.2,233.544
2013-10-01,0.09,17192.019,7.2,233.669
2013-11-01,0.08,17192.019,6.9,234.1
2013-12-01,0.09,17192.019,6.7,234.719
2014-01-01,0.07,17197.738,6.6,235.288
2014-02-01,0.07,17197.738,6.7,235.547
2014-03-01,0.08,17197.738,6.7,236.028
2014-04-01,0.09,17518.508,6.2,236.468
2014-05-01,0.09,17518.508,6.3,236.918
2014-06-01,0.1,17518.508,6.1,237.231
2014-07-01,0.09,17804.228,6.2,237.498
2014-08-01,0.09,17804.228,6.1,237.46
2014-09-01,0.09,17804.228,5.9,237.477
2014-10-01,0.09,17912.079,5.7,237.43
2014-11-01,0.09,17912.079,5.8,236.983
2014-12-01,0.12,17912.079,5.6,236.252
2015-01-01,0.11,18063.529,5.7,234.747
2015-02-01,0.11,18063.529,5.5,235.342
2015-03-01,0.11,18063.529,5.4,235.976
2015-04-01,0.12,18279.784,5.4,236.222
2015-05-01,0.12,18279.784,5.6,237.001
2015-06-01,0.13,18279.784,5.3,237.657
2015-07-01,0.13,18401.626,5.2,238.034
2015-08-01,0.14,18401.626,5.1,238.033
2015-09-01,0.14,18401.626,5.0,237.498
2015-10-01,0.12,18435.137,5.0,237.733
2015-11-01,0.12,18435.137,5.1,238.017
2015-12-01,0.24,18435.137,5.0,237.761
2016-01-01,0.34,18525.933,4.8,237.652
2016-02-01,0.38,18525.933,4.9,237.336
2016-03-01,0.36,18525.933,5.0,238.08
2016-04-01,0.37,18711.702,5.1,238.992
2016-05-01,0.37,18711.702,4.8,239.557
2016-06-01,0.38,18711.702,4.9,240.222
2016-07-01,0.39,18892.639,4.8,240.101
2016-08-01,0.4,18892.639,4.9,240.545
2016-09-01,0.4,18892.639,5.0,241.176
2016-10-01,0.4,19089.379,4.9,241.741
2016-11-01,0.41,19089.379,4.7,242.026
2016-12-01,0.54,19089.379,4.7,242.637
2017-01-01,0.65,19280.084,4.7,243.618
2017-02-01,0.66,19280.084,4.6,244.006
2017-03-01,0.79,19280.084,4.4,243.892
